x,y,species_1 cloglog values
299.0,299.0,0.4949646
300.0,300.0,4.0830483E-4
301.0,301.0,4.4147318E-4
302.0,302.0,1.0728907E-4
303.0,303.0,0.13228822
304.0,304.0,0.19724339
305.0,305.0,0.3076132
306.0,306.0,2.669408E-5
307.0,307.0,0.048346277
308.0,308.0,2.2283329E-4
309.0,309.0,0.101833306
310.0,310.0,7.0998113E-4
311.0,311.0,0.0939457
312.0,312.0,0.284112
313.0,313.0,0.29490077
314.0,314.0,0.20571932
315.0,315.0,0.016880177
316.0,316.0,0.40314618
317.0,317.0,0.96554726
318.0,318.0,0.022392867
319.0,319.0,0.50622576
320.0,320.0,0.6565057
321.0,321.0,7.783767E-4
322.0,322.0,0.0031574874
323.0,323.0,0.005334405
324.0,324.0,0.002194104
325.0,325.0,0.04790736
326.0,326.0,0.0680715
327.0,327.0,0.20808396
328.0,328.0,5.6284096E-4
329.0,329.0,0.0017709915
330.0,330.0,0.08205567
331.0,331.0,0.3745137
332.0,332.0,0.1137595
333.0,333.0,0.002606455
334.0,334.0,0.51198745
335.0,335.0,0.027796822
336.0,336.0,7.4636744E-4
337.0,337.0,0.0010531531
338.0,338.0,0.22981986
339.0,339.0,0.09385837
340.0,340.0,0.07589906
341.0,341.0,0.17881224
342.0,342.0,6.1399995E-5
343.0,343.0,0.49095097
344.0,344.0,0.0071258536
345.0,345.0,0.26939452
346.0,346.0,0.51658595
347.0,347.0,0.28298202
348.0,348.0,0.5552908
349.0,349.0,0.7246706
350.0,350.0,0.2175889
351.0,351.0,0.0022366678
352.0,352.0,0.38085434
353.0,353.0,0.015069935
354.0,354.0,0.49583843
355.0,355.0,0.14536117
356.0,356.0,2.7606127E-4
357.0,357.0,0.088047735
358.0,358.0,2.6924952E-4
359.0,359.0,0.034522068
360.0,360.0,0.1350091
361.0,361.0,0.20435266
362.0,362.0,0.29955512
363.0,363.0,0.26532975
364.0,364.0,0.0018658715
365.0,365.0,6.300704E-5
366.0,366.0,0.078541316
367.0,367.0,4.793278E-5
368.0,368.0,0.039461568
369.0,369.0,0.25579962
370.0,370.0,0.26575714
371.0,371.0,0.26325244
372.0,372.0,0.0032419427
373.0,373.0,0.00349351
374.0,374.0,0.17564763
375.0,375.0,0.27723396
376.0,376.0,0.025043199
377.0,377.0,0.16063695
378.0,378.0,0.30209932
379.0,379.0,0.450955
380.0,380.0,0.57222664
381.0,381.0,7.853589E-5
382.0,382.0,0.11867093
383.0,383.0,0.0060309377
384.0,384.0,0.19642931
385.0,385.0,0.028665056
386.0,386.0,0.33922556
387.0,387.0,3.1607004E-4
388.0,388.0,3.65052E-4
389.0,389.0,0.19276893
390.0,390.0,0.34392402
391.0,391.0,0.19253282
392.0,392.0,0.0010182671
393.0,393.0,0.43118545
394.0,394.0,0.0019252973
395.0,395.0,0.3757353
396.0,396.0,0.47501695
397.0,397.0,0.072013564
398.0,398.0,0.059831567
399.0,399.0,0.26048708
400.0,400.0,0.38086545
401.0,401.0,9.976028E-5
402.0,402.0,0.082837746
403.0,403.0,0.0015992508
404.0,404.0,8.665669E-5
405.0,405.0,0.2948224
406.0,406.0,0.5446588
407.0,407.0,0.28601292
408.0,408.0,0.1811899
409.0,409.0,0.3579546
410.0,410.0,0.0069065853
411.0,411.0,2.760958E-5
412.0,412.0,0.13908683
413.0,413.0,1.9104306E-4
414.0,414.0,4.2189084E-4
415.0,415.0,0.1930141
416.0,416.0,0.2414963
417.0,417.0,0.58976203
418.0,418.0,3.0725487E-4
419.0,419.0,0.29109374
420.0,420.0,0.5047809
421.0,421.0,0.08618764
422.0,422.0,0.012639209
423.0,423.0,0.23516831
424.0,424.0,0.47934103
425.0,425.0,0.15534443
426.0,426.0,4.87449E-5
427.0,427.0,2.5983228E-4
428.0,428.0,0.0068802317
429.0,429.0,0.16425471
430.0,430.0,0.0048007425
431.0,431.0,0.015233987
432.0,432.0,0.09746474
433.0,433.0,0.17074004
434.0,434.0,0.08542757
435.0,435.0,0.0018144846
436.0,436.0,5.401741E-4
437.0,437.0,0.24109876
438.0,438.0,0.26799214
439.0,439.0,0.0057206852
440.0,440.0,0.038140662
441.0,441.0,0.048315484
442.0,442.0,0.030890213
443.0,443.0,9.786877E-5
444.0,444.0,0.03197803
445.0,445.0,6.1947905E-4
446.0,446.0,0.47538695
447.0,447.0,0.006521318
448.0,448.0,0.0054793246
449.0,449.0,8.145676E-5
450.0,450.0,0.3364381
451.0,451.0,3.617833E-4
452.0,452.0,0.0016749047
453.0,453.0,5.1107653E-4
454.0,454.0,0.29150587
455.0,455.0,0.3864896
456.0,456.0,0.16895622
457.0,457.0,0.07269837
458.0,458.0,3.113157E-4
459.0,459.0,0.49528077
