x,y,species avg
203.0,203.0,0.0037041388
204.0,204.0,0.3909311
205.0,205.0,0.12477848
206.0,206.0,0.19758518
207.0,207.0,0.09553819
208.0,208.0,0.09268688
209.0,209.0,0.07921916
210.0,210.0,0.16552253
211.0,211.0,3.5030858E-4
212.0,212.0,0.055245556
213.0,213.0,3.0495995E-4
214.0,214.0,0.4021887
215.0,215.0,0.0033307371
216.0,216.0,0.05260433
217.0,217.0,0.19240049
218.0,218.0,0.52725154
219.0,219.0,0.019202158
220.0,220.0,0.41056255
221.0,221.0,7.1256554E-6
222.0,222.0,0.2816418
223.0,223.0,5.356947E-4
224.0,224.0,5.8240665E-4
225.0,225.0,0.19588782
226.0,226.0,0.27224284
227.0,227.0,0.17846373
228.0,228.0,0.36578897
229.0,229.0,1.1036105E-4
230.0,230.0,0.41067082
231.0,231.0,0.019201625
232.0,232.0,0.13692878
233.0,233.0,0.26350087
234.0,234.0,0.3143281
235.0,235.0,0.008022499
236.0,236.0,0.16263188
237.0,237.0,0.005868864
238.0,238.0,0.20523475
239.0,239.0,0.30264318
240.0,240.0,0.048821915
241.0,241.0,0.5513376
242.0,242.0,0.103636004
243.0,243.0,0.49742132
244.0,244.0,7.156052E-4
245.0,245.0,0.49633813
246.0,246.0,0.09045505
247.0,247.0,9.789562E-6
248.0,248.0,0.106915705
249.0,249.0,0.29363853
250.0,250.0,2.6973212E-4
251.0,251.0,0.42747042
252.0,252.0,0.39390317
253.0,253.0,0.19685231
254.0,254.0,0.22169352
255.0,255.0,0.25494444
256.0,256.0,3.650574E-5
257.0,257.0,2.3593457E-4
258.0,258.0,5.1137344E-5
259.0,259.0,0.18426822
260.0,260.0,6.1378494E-4
261.0,261.0,0.17375658
262.0,262.0,0.25700232
263.0,263.0,2.2421273E-5
264.0,264.0,0.5481761
265.0,265.0,0.38365063
266.0,266.0,0.018927054
267.0,267.0,0.4681799
268.0,268.0,0.43522468
269.0,269.0,0.26944232
270.0,270.0,0.6893337
271.0,271.0,0.024458582
272.0,272.0,0.80136335
273.0,273.0,7.451905E-4
274.0,274.0,0.002965776
275.0,275.0,0.12131038
276.0,276.0,6.274204E-4
277.0,277.0,0.7362021
278.0,278.0,0.50604665
279.0,279.0,1.7323786E-4
280.0,280.0,0.13345262
281.0,281.0,0.06687127
282.0,282.0,0.11457648
283.0,283.0,0.42641136
284.0,284.0,1.3956595E-4
285.0,285.0,0.12441215
286.0,286.0,0.28753158
287.0,287.0,0.17502289
288.0,288.0,0.11626214
289.0,289.0,0.50940126
290.0,290.0,2.5446556E-5
291.0,291.0,0.28320888
292.0,292.0,0.3387161
293.0,293.0,0.0790975
294.0,294.0,0.0084657
295.0,295.0,0.23836619
296.0,296.0,0.25398636
297.0,297.0,0.22071451
298.0,298.0,0.5287421
299.0,299.0,0.4220042
300.0,300.0,1.6866194E-4
