x,y,species median
349.0,349.0,0.7246706
350.0,350.0,0.18432271
351.0,351.0,5.6203135E-4
352.0,352.0,0.45829254
353.0,353.0,0.026286835
354.0,354.0,0.494529
355.0,355.0,0.18439847
356.0,356.0,2.315265E-5
357.0,357.0,0.088047735
358.0,358.0,6.1374245E-5
359.0,359.0,0.034522068
360.0,360.0,0.1749659
361.0,361.0,0.3400844
362.0,362.0,0.29955512
363.0,363.0,0.33867508
364.0,364.0,4.6523608E-4
365.0,365.0,2.621152E-6
366.0,366.0,0.06971096
367.0,367.0,2.830391E-6
368.0,368.0,0.12721781
369.0,369.0,0.25579962
370.0,370.0,0.27262074
371.0,371.0,0.26325244
372.0,372.0,0.004844013
373.0,373.0,0.0044272873
374.0,374.0,0.20090862
375.0,375.0,0.26897323
376.0,376.0,0.043818407
377.0,377.0,0.20619462
378.0,378.0,0.2581392
379.0,379.0,0.45023867
380.0,380.0,0.45945233
381.0,381.0,4.466205E-6
382.0,382.0,0.24502824
383.0,383.0,0.009091216
384.0,384.0,0.19642931
385.0,385.0,0.0392244
386.0,386.0,0.26121572
387.0,387.0,9.762591E-5
388.0,388.0,9.5121075E-5
389.0,389.0,0.23476961
390.0,390.0,0.40924048
391.0,391.0,0.19920532
392.0,392.0,9.405117E-4
393.0,393.0,0.37565866
394.0,394.0,0.0018446953
395.0,395.0,0.20138316
396.0,396.0,0.48493463
397.0,397.0,0.1024919
398.0,398.0,0.096722595
399.0,399.0,0.46524906
400.0,400.0,0.5006309
401.0,401.0,3.756225E-6
402.0,402.0,0.078451715
403.0,403.0,0.0018338191
404.0,404.0,7.493493E-6
405.0,405.0,0.2948224
406.0,406.0,0.70200145
407.0,407.0,0.21876289
408.0,408.0,0.1811899
409.0,409.0,0.32327542
410.0,410.0,0.01682177
411.0,411.0,8.303947E-7
412.0,412.0,0.16469471
413.0,413.0,2.8552267E-5
414.0,414.0,3.3922176E-4
415.0,415.0,0.23937309
416.0,416.0,0.27451563
417.0,417.0,0.6937164
418.0,418.0,9.1794645E-5
419.0,419.0,0.29109374
420.0,420.0,0.44848576
421.0,421.0,0.05518218
422.0,422.0,0.032073326
423.0,423.0,0.30866817
424.0,424.0,0.419738
425.0,425.0,0.19380596
426.0,426.0,1.7332212E-6
427.0,427.0,1.781287E-5
428.0,428.0,0.006904073
429.0,429.0,0.1975286
430.0,430.0,0.0048262705
431.0,431.0,0.0407985
432.0,432.0,0.09746474
433.0,433.0,0.17074004
434.0,434.0,0.11763696
435.0,435.0,0.0018144846
436.0,436.0,1.811294E-4
437.0,437.0,0.24109876
438.0,438.0,0.30251253
439.0,439.0,0.0030668871
440.0,440.0,0.055265475
441.0,441.0,0.05442174
442.0,442.0,0.049334895
443.0,443.0,8.655269E-6
444.0,444.0,0.038456738
445.0,445.0,3.5314407E-4
446.0,446.0,0.4406136
447.0,447.0,0.003471522
448.0,448.0,0.006174031
449.0,449.0,4.8244524E-6
450.0,450.0,0.3364381
451.0,451.0,1.05739826E-4
452.0,452.0,0.0024150955
453.0,453.0,4.9040893E-5
454.0,454.0,0.29150587
455.0,455.0,0.24525087
456.0,456.0,0.15923065
457.0,457.0,0.07269837
458.0,458.0,7.733972E-5
459.0,459.0,0.5604324
460.0,460.0,0.5842492
461.0,461.0,3.8609878E-7
462.0,462.0,1.5217685E-5
463.0,463.0,0.004717031
464.0,464.0,0.2251115
465.0,465.0,0.03722863
466.0,466.0,0.01289383
467.0,467.0,0.64863527
468.0,468.0,2.517145E-4
469.0,469.0,0.24421844
470.0,470.0,0.24297953
471.0,471.0,0.0036325788
472.0,472.0,0.35782075
473.0,473.0,6.345124E-5
474.0,474.0,0.20262626
475.0,475.0,9.469258E-5
476.0,476.0,0.2803965
477.0,477.0,0.0031307314
478.0,478.0,0.00993294
479.0,479.0,0.34658775
480.0,480.0,0.51448405
481.0,481.0,0.3231198
482.0,482.0,0.19278112
483.0,483.0,0.4791648
484.0,484.0,1.5139203E-4
485.0,485.0,0.103355505
486.0,486.0,0.012630022
487.0,487.0,0.39625984
488.0,488.0,0.369388
489.0,489.0,0.0022770672
490.0,490.0,0.26453155
491.0,491.0,0.3982899
492.0,492.0,8.075342E-4
493.0,493.0,0.2365333
494.0,494.0,8.208311E-5
495.0,495.0,2.6241318E-5
496.0,496.0,0.42934272
497.0,497.0,2.5828597E-6
498.0,498.0,9.50182E-4
499.0,499.0,0.0011444145
500.0,500.0,0.0032195954
501.0,501.0,0.02067176
502.0,502.0,0.14831156
503.0,503.0,1.7968454E-6
504.0,504.0,1.4103326E-4
505.0,505.0,0.13157775
506.0,506.0,0.33500567
507.0,507.0,0.1084278
508.0,508.0,2.2749588E-4
509.0,509.0,0.026842372
510.0,510.0,0.056233887
511.0,511.0,1.5340497E-4
512.0,512.0,0.33096477
513.0,513.0,0.5520514
514.0,514.0,0.234586
515.0,515.0,5.5077737E-5
516.0,516.0,0.40559253
517.0,517.0,7.3163706E-4
518.0,518.0,0.33919817
519.0,519.0,0.084485576
520.0,520.0,0.2157573
521.0,521.0,7.8811536E-5
522.0,522.0,0.08867198
523.0,523.0,0.3520651
524.0,524.0,0.01472875
525.0,525.0,1.4148945E-6
526.0,526.0,0.029027276
527.0,527.0,0.24029833
528.0,528.0,0.10837563
529.0,529.0,0.35599115
530.0,530.0,0.49753848
531.0,531.0,0.3368893
532.0,532.0,0.12121164
533.0,533.0,0.3914423
534.0,534.0,0.24723305
535.0,535.0,0.3570366
536.0,536.0,0.21798335
537.0,537.0,0.02966691
538.0,538.0,7.557345E-6
539.0,539.0,1.5762847E-4
540.0,540.0,0.4010676
541.0,541.0,8.427363E-6
542.0,542.0,0.33628237
543.0,543.0,0.043542843
544.0,544.0,0.17754497
545.0,545.0,8.840058E-4
546.0,546.0,0.05087969
547.0,547.0,0.14108336
548.0,548.0,0.16654272
549.0,549.0,6.5461016E-4
550.0,550.0,2.0486116E-4
551.0,551.0,0.1839541
552.0,552.0,0.15345982
553.0,553.0,0.42055482
554.0,554.0,7.2590597E-6
555.0,555.0,5.614055E-5
556.0,556.0,2.5089955E-4
557.0,557.0,0.5586293
558.0,558.0,0.0038117566
559.0,559.0,8.637894E-6
560.0,560.0,0.0036340537
561.0,561.0,0.2027685
562.0,562.0,8.9093436E-7
563.0,563.0,0.10409672
564.0,564.0,2.8777504E-5
565.0,565.0,0.2401354
566.0,566.0,0.2539484
567.0,567.0,0.015180849
568.0,568.0,0.0033468164
569.0,569.0,5.9213442E-5
570.0,570.0,0.021624561
571.0,571.0,0.42536786
572.0,572.0,0.07548802
573.0,573.0,0.024683569
574.0,574.0,0.17014073
575.0,575.0,7.5424605E-6
576.0,576.0,0.15219416
577.0,577.0,0.031052878
578.0,578.0,6.454721E-6
579.0,579.0,0.2493781
580.0,580.0,2.64087E-4
581.0,581.0,0.45872664
582.0,582.0,1.46937255E-5
583.0,583.0,0.08320351
584.0,584.0,0.39897123
585.0,585.0,2.059959E-4
586.0,586.0,0.23645556
587.0,587.0,0.31401575
588.0,588.0,0.5727923
589.0,589.0,7.316897E-5
590.0,590.0,0.073003426
591.0,591.0,0.19939388
592.0,592.0,5.842715E-5
593.0,593.0,0.33868465
594.0,594.0,1.2230462E-5
595.0,595.0,0.48616973
596.0,596.0,0.45062625
597.0,597.0,0.23631003
598.0,598.0,0.24526751
599.0,599.0,0.21507777
600.0,600.0,0.015055923
601.0,601.0,2.2395962E-4
602.0,602.0,0.06551932
603.0,603.0,0.20534372
604.0,604.0,0.33239168
605.0,605.0,7.199513E-5
606.0,606.0,0.012214484
607.0,607.0,0.32161862
608.0,608.0,0.47896814
609.0,609.0,0.26944664
610.0,610.0,0.06719237
611.0,611.0,0.28797686
612.0,612.0,0.054920796
613.0,613.0,5.536366E-5
614.0,614.0,0.054082505
615.0,615.0,6.673997E-7
616.0,616.0,2.7655126E-6
617.0,617.0,0.45313618
618.0,618.0,0.34796318
619.0,619.0,7.562857E-5
620.0,620.0,0.20266071
621.0,621.0,0.014438433
622.0,622.0,0.013080896
623.0,623.0,5.6373654E-4
624.0,624.0,5.0885646E-5
625.0,625.0,0.36896217
626.0,626.0,0.05465331
627.0,627.0,0.42789006
628.0,628.0,0.37863344
629.0,629.0,0.13993697
630.0,630.0,0.24900973
631.0,631.0,0.013425599
632.0,632.0,5.5996574E-5
633.0,633.0,0.23100631
634.0,634.0,3.050203E-4
635.0,635.0,0.12511095
636.0,636.0,0.41859493
637.0,637.0,0.32173997
638.0,638.0,0.20195635
639.0,639.0,0.18219738
640.0,640.0,6.469822E-4
641.0,641.0,0.03702737
642.0,642.0,0.0020475648
643.0,643.0,0.9481899
644.0,644.0,0.0022792746
645.0,645.0,0.2587523
646.0,646.0,0.9695221
647.0,647.0,0.039796297
648.0,648.0,4.217517E-6
649.0,649.0,8.3630666E-4
650.0,650.0,0.1380959
651.0,651.0,0.37275565
652.0,652.0,0.0067104627
653.0,653.0,0.10422802
654.0,654.0,0.2624262
655.0,655.0,0.012351311
656.0,656.0,0.59144515
657.0,657.0,0.72694355
658.0,658.0,3.6036625E-5
659.0,659.0,0.20912601
660.0,660.0,0.40099624
661.0,661.0,0.020005265
662.0,662.0,0.12739156
663.0,663.0,0.45968032
664.0,664.0,6.46492E-5
665.0,665.0,0.3309844
666.0,666.0,0.07141502
667.0,667.0,0.009067462
668.0,668.0,3.77464E-4
669.0,669.0,0.58367413
670.0,670.0,1.0117985E-4
671.0,671.0,0.44747272
672.0,672.0,0.002085554
673.0,673.0,6.7366543E-4
674.0,674.0,2.0812998E-4
675.0,675.0,0.18041733
676.0,676.0,0.22808914
677.0,677.0,1.9145615E-5
678.0,678.0,9.768781E-7
679.0,679.0,0.0015264662
680.0,680.0,0.2397858
681.0,681.0,0.010308768
682.0,682.0,2.95178E-4
683.0,683.0,4.5896674E-4
684.0,684.0,0.29666188
685.0,685.0,0.5897648
686.0,686.0,0.001092314
687.0,687.0,1.42109175E-5
688.0,688.0,0.071122795
689.0,689.0,0.3038279
690.0,690.0,0.43411005
691.0,691.0,0.3524538
692.0,692.0,0.0026839112
693.0,693.0,0.57748026
694.0,694.0,0.0043046633
695.0,695.0,0.30912143
696.0,696.0,2.6116223E-4
697.0,697.0,0.28621545
698.0,698.0,0.36055362
699.0,699.0,0.9998318
700.0,700.0,0.50794935
701.0,701.0,0.17573984
702.0,702.0,0.0012986864
703.0,703.0,0.6432683
704.0,704.0,0.27354172
705.0,705.0,0.027148072
706.0,706.0,0.3753722
707.0,707.0,0.22457221
708.0,708.0,9.4776636E-4
709.0,709.0,0.036724087
710.0,710.0,0.4762386
711.0,711.0,0.4455405
712.0,712.0,0.25342044
713.0,713.0,5.3331733E-4
714.0,714.0,0.0015263694
715.0,715.0,0.26408792
716.0,716.0,0.002536391
717.0,717.0,3.258709E-5
718.0,718.0,0.28032765
719.0,719.0,8.635513E-4
720.0,720.0,0.13186613
721.0,721.0,3.85331E-4
722.0,722.0,0.0072646886
723.0,723.0,0.8817316
724.0,724.0,0.19403844
725.0,725.0,8.469869E-6
726.0,726.0,7.197819E-7
727.0,727.0,0.20884278
728.0,728.0,0.010086261
729.0,729.0,0.38943133
730.0,730.0,2.278143E-5
731.0,731.0,0.030110957
732.0,732.0,3.7854727E-4
733.0,733.0,0.054112084
734.0,734.0,0.32354134
735.0,735.0,0.03942156
736.0,736.0,0.09316293
737.0,737.0,1.593547E-4
738.0,738.0,0.3339277
739.0,739.0,0.006837161
740.0,740.0,0.006664947
741.0,741.0,0.0016852487
742.0,742.0,0.10208751
743.0,743.0,0.30253264
744.0,744.0,0.22912465
745.0,745.0,0.40959656
746.0,746.0,0.13598023
747.0,747.0,0.14040403
748.0,748.0,0.19649135
749.0,749.0,7.4454106E-4
750.0,750.0,0.09253135
751.0,751.0,0.24097389
752.0,752.0,0.049052063
753.0,753.0,4.909087E-6
754.0,754.0,7.168057E-7
755.0,755.0,0.37216026
756.0,756.0,0.08059067
757.0,757.0,0.43407053
758.0,758.0,0.41244757
759.0,759.0,0.14088485
760.0,760.0,0.172812
761.0,761.0,7.9139835E-7
762.0,762.0,0.68892974
763.0,763.0,0.41593495
764.0,764.0,0.42541182
765.0,765.0,7.350588E-5
766.0,766.0,0.3287572
767.0,767.0,0.003520623
768.0,768.0,1.48347435E-5
769.0,769.0,5.1195537E-5
770.0,770.0,0.0011174618
771.0,771.0,0.47036272
772.0,772.0,6.3976296E-4
773.0,773.0,0.38273332
774.0,774.0,4.543217E-4
775.0,775.0,0.18109532
776.0,776.0,0.40934998
777.0,777.0,0.68352544
778.0,778.0,0.22947621
779.0,779.0,0.6272472
780.0,780.0,4.5562224E-6
781.0,781.0,0.35911438
782.0,782.0,0.30629036
783.0,783.0,0.2465033
784.0,784.0,0.23873113
785.0,785.0,0.12062527
786.0,786.0,2.5556513E-4
787.0,787.0,0.024554726
788.0,788.0,0.9963513
789.0,789.0,0.2922334
790.0,790.0,0.004799947
791.0,791.0,0.33856902
792.0,792.0,1.616856E-5
793.0,793.0,0.38517836
794.0,794.0,0.1732999
795.0,795.0,0.0021757972
796.0,796.0,0.30773172
