Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.63403E-4,39.272642076,0.649599233,0.136228007,0.342105263,0.464285714
2.65635E-4,39.510649566,0.652698687,0.135301986,0.342105263,0.464285714
2.67188E-4,39.750630943,0.654839962,0.134375965,0.342105263,0.464285714
2.7182E-4,40.019869717,0.661146069,0.133347052,0.342105263,0.464285714
2.73683E-4,40.265697486,0.663650408,0.132421031,0.342105263,0.464285714
2.75443E-4,40.512922107,0.665999201,0.13149501,0.342105263,0.464285714
2.77213E-4,40.761919516,0.668344817,0.130568989,0.350877193,0.464285714
2.78992E-4,41.012126859,0.67068467,0.129642967,0.350877193,0.464285714
2.80063E-4,41.263716822,0.672086706,0.128716946,0.359649123,0.464285714
2.809E-4,41.516079338,0.673177438,0.127790925,0.359649123,0.464285714
2.82204E-4,41.769439183,0.674870118,0.126864904,0.359649123,0.464285714
2.83875E-4,42.024101015,0.677025831,0.125938883,0.359649123,0.464285714
2.85223E-4,42.251872743,0.678753605,0.125115753,0.359649123,0.535714286
2.86264E-4,42.509146905,0.680081996,0.124189731,0.368421053,0.535714286
2.87705E-4,42.767437447,0.68191256,0.12326371,0.377192982,0.535714286
2.89603E-4,43.027469795,0.684307825,0.122337689,0.377192982,0.535714286
2.90881E-4,43.259855217,0.685908916,0.121514559,0.377192982,0.535714286
2.93442E-4,43.522762309,0.689095958,0.120588538,0.377192982,0.535714286
2.95511E-4,43.75861794,0.691646003,0.119765408,0.385964912,0.535714286
2.97617E-4,44.0256915,0.694221135,0.118839387,0.385964912,0.535714286
2.98726E-4,44.264195325,0.69556785,0.118016257,0.394736842,0.535714286
3.01119E-4,44.504402054,0.698454717,0.117193127,0.412280702,0.535714286
3.03951E-4,44.776816345,0.70183566,0.116267106,0.412280702,0.535714286
3.0603E-4,45.02077842,0.704293115,0.115443976,0.412280702,0.535714286
3.07735E-4,45.26634134,0.706293249,0.114620846,0.412280702,0.535714286
3.08999E-4,45.513056894,0.70776822,0.113797716,0.412280702,0.535714286
3.10254E-4,45.760762285,0.70922481,0.112974586,0.421052632,0.535714286
3.12504E-4,46.009629475,0.711817441,0.112151456,0.421052632,0.535714286
3.14321E-4,46.260354691,0.713894146,0.111328326,0.421052632,0.535714286
3.15905E-4,46.51257871,0.715692694,0.110505196,0.421052632,0.535714286
3.16688E-4,46.765708662,0.716577867,0.109682066,0.421052632,0.535714286
3.1985E-4,47.020049656,0.720123797,0.108858936,0.421052632,0.535714286
3.22317E-4,47.276937527,0.722858733,0.108035806,0.421052632,0.535714286
3.2403E-4,47.503347752,0.724742636,0.107315567,0.429824561,0.535714286
3.26837E-4,47.763504411,0.727801483,0.106492437,0.429824561,0.535714286
3.28432E-4,48.025509277,0.729524675,0.105669308,0.429824561,0.535714286
3.29547E-4,48.255980182,0.730722583,0.104949069,0.429824561,0.535714286
3.31925E-4,48.520977174,0.733260466,0.104125939,0.438596491,0.535714286
3.33708E-4,48.75381359,0.735147118,0.1034057,0.438596491,0.535714286
3.34734E-4,49.021148717,0.736226589,0.10258257,0.438596491,0.535714286
3.36641E-4,49.256264977,0.738221984,0.101862332,0.447368421,0.535714286
3.37727E-4,49.526065972,0.739350472,0.101039202,0.447368421,0.535714286
3.39438E-4,49.763189936,0.741120711,0.100318963,0.447368421,0.535714286
3.41009E-4,50.001602293,0.742734684,0.099598724,0.447368421,0.571428571
3.43239E-4,50.275815738,0.745008523,0.098775594,0.447368421,0.607142857
3.43971E-4,50.516424178,0.74575036,0.098055355,0.447368421,0.642857143
3.44672E-4,50.75754336,0.746458862,0.097335117,0.456140351,0.642857143
3.45476E-4,51.033557841,0.747269705,0.096511987,0.456140351,0.642857143
3.47456E-4,51.276020428,0.749254291,0.095791748,0.456140351,0.642857143
3.48836E-4,51.519745687,0.750628144,0.095071509,0.456140351,0.642857143
3.5006E-4,51.764534441,0.751839622,0.094351271,0.473684211,0.642857143
3.51442E-4,52.01015415,0.753201561,0.093631032,0.473684211,0.642857143
3.52519E-4,52.256609492,0.754257035,0.092910793,0.473684211,0.642857143
3.53942E-4,52.503960326,0.75564542,0.092190555,0.473684211,0.642857143
3.55354E-4,52.752303366,0.757015834,0.091470316,0.49122807,0.678571429
3.56177E-4,53.001406127,0.757810195,0.090750077,0.5,0.678571429
3.57338E-4,53.251264518,0.758926883,0.090029838,0.50877193,0.678571429
3.58577E-4,53.501947193,0.760113153,0.0893096,0.51754386,0.678571429
3.60138E-4,53.753401337,0.76159962,0.088589361,0.51754386,0.678571429
3.61445E-4,54.006155653,0.762837136,0.087869122,0.51754386,0.678571429
3.64001E-4,54.260087129,0.765238012,0.087148884,0.51754386,0.678571429
3.65394E-4,54.51544762,0.766536737,0.086428645,0.51754386,0.678571429
3.67537E-4,54.772063589,0.768519982,0.085708406,0.51754386,0.678571429
3.68849E-4,55.029890609,0.769725765,0.084988168,0.51754386,0.678571429
3.69872E-4,55.251659705,0.770662159,0.08437082,0.51754386,0.678571429
3.71615E-4,55.511274485,0.772247934,0.083650581,0.526315789,0.678571429
3.72877E-4,55.771943809,0.773388928,0.082930343,0.526315789,0.678571429
3.7357E-4,56.033231038,0.774013632,0.082210104,0.526315789,0.678571429
3.75168E-4,56.258010749,0.775447108,0.081592756,0.526315789,0.678571429
3.76662E-4,56.521338914,0.776778616,0.080872518,0.526315789,0.678571429
