x,y,species_4 cloglog values
112.0,112.0,0.24067222
113.0,113.0,0.07231625
114.0,114.0,0.01532955
115.0,115.0,0.0047479398
116.0,116.0,0.16321178
117.0,117.0,0.063584715
118.0,118.0,0.029469186
119.0,119.0,0.19404575
120.0,120.0,0.20158039
121.0,121.0,0.022193894
122.0,122.0,0.068766415
123.0,123.0,0.14243262
124.0,124.0,0.0050881985
125.0,125.0,0.008041812
126.0,126.0,0.038869325
127.0,127.0,0.25650433
128.0,128.0,0.7445881
129.0,129.0,0.4407473
130.0,130.0,0.73452663
131.0,131.0,0.16663955
132.0,132.0,0.39101803
133.0,133.0,0.16940418
134.0,134.0,0.0499754
135.0,135.0,0.10201675
136.0,136.0,4.4947883E-4
137.0,137.0,0.11825976
138.0,138.0,2.7487328E-4
139.0,139.0,0.0016047064
140.0,140.0,0.0066983406
141.0,141.0,0.7324787
142.0,142.0,0.034067664
143.0,143.0,0.8893559
144.0,144.0,0.08795849
145.0,145.0,0.7675793
146.0,146.0,0.077076845
147.0,147.0,0.13559009
148.0,148.0,0.35053793
149.0,149.0,3.5756206E-5
150.0,150.0,0.12802702
151.0,151.0,0.11185321
152.0,152.0,0.19664752
153.0,153.0,8.0464914E-4
154.0,154.0,0.12867074
155.0,155.0,0.17591602
156.0,156.0,0.02708716
157.0,157.0,0.3130018
158.0,158.0,0.0046407385
159.0,159.0,0.7599838
160.0,160.0,0.15057924
161.0,161.0,0.15343712
162.0,162.0,0.17377508
163.0,163.0,0.09989721
164.0,164.0,0.091800705
165.0,165.0,0.042300396
166.0,166.0,0.7621131
167.0,167.0,0.18026827
168.0,168.0,0.3235735
169.0,169.0,0.35281387
170.0,170.0,0.569786
171.0,171.0,0.26620275
172.0,172.0,0.012579459
173.0,173.0,0.4761986
174.0,174.0,0.0026462157
175.0,175.0,0.008320061
176.0,176.0,0.03197179
177.0,177.0,0.14711757
178.0,178.0,0.077532224
179.0,179.0,0.11496338
180.0,180.0,0.054055054
181.0,181.0,0.119012155
182.0,182.0,0.08682011
183.0,183.0,0.522214
184.0,184.0,0.58918077
185.0,185.0,0.118773036
186.0,186.0,0.10195317
187.0,187.0,0.033749375
188.0,188.0,0.053663414
189.0,189.0,0.8036869
190.0,190.0,0.061919264
191.0,191.0,0.9752331
192.0,192.0,0.14677519
193.0,193.0,0.043427754
194.0,194.0,0.18727708
