x,y,species median
149.0,149.0,1.8314009E-4
150.0,150.0,0.11024368
151.0,151.0,0.11490869
152.0,152.0,0.19037168
153.0,153.0,5.8368733E-4
154.0,154.0,0.12867074
155.0,155.0,0.17591602
156.0,156.0,0.02708716
157.0,157.0,0.25761166
158.0,158.0,0.0046453727
159.0,159.0,0.7599838
160.0,160.0,0.082359925
161.0,161.0,0.15343712
162.0,162.0,0.094354995
163.0,163.0,0.09989721
164.0,164.0,0.091419965
165.0,165.0,0.042300396
166.0,166.0,0.78246796
167.0,167.0,0.16402417
168.0,168.0,0.4045309
169.0,169.0,0.2506517
170.0,170.0,0.5241517
171.0,171.0,0.27270007
172.0,172.0,0.0067817797
173.0,173.0,0.31818295
174.0,174.0,0.0026462157
175.0,175.0,0.008753583
176.0,176.0,0.03179218
177.0,177.0,0.1187046
178.0,178.0,0.06958641
179.0,179.0,0.11431843
180.0,180.0,0.054055054
181.0,181.0,0.113069266
182.0,182.0,0.07613309
183.0,183.0,0.5251172
184.0,184.0,0.55811375
185.0,185.0,0.121692255
186.0,186.0,0.07564917
187.0,187.0,0.02905291
188.0,188.0,0.06641155
189.0,189.0,0.8910172
190.0,190.0,0.05863719
191.0,191.0,0.985808
192.0,192.0,0.14677519
193.0,193.0,0.043427754
194.0,194.0,0.17840053
195.0,195.0,0.13580526
196.0,196.0,0.22925645
197.0,197.0,0.005455108
198.0,198.0,0.89391506
199.0,199.0,0.9395279
200.0,200.0,0.73828715
201.0,201.0,0.12852354
202.0,202.0,0.053380884
203.0,203.0,0.09205565
204.0,204.0,0.120683074
205.0,205.0,0.114090346
206.0,206.0,0.15241134
207.0,207.0,0.87799495
208.0,208.0,0.10077539
209.0,209.0,0.7245706
210.0,210.0,0.009659113
211.0,211.0,0.070656076
212.0,212.0,0.037756734
213.0,213.0,0.07393854
214.0,214.0,0.11693329
215.0,215.0,0.0913189
216.0,216.0,0.13216627
217.0,217.0,0.6499436
218.0,218.0,0.27802184
219.0,219.0,0.034236267
220.0,220.0,0.20296177
221.0,221.0,0.4516334
222.0,222.0,0.28892967
