x,y,species min
411.0,411.0,0.65985477
412.0,412.0,0.195026
413.0,413.0,0.06926102
414.0,414.0,0.16431667
415.0,415.0,0.0022821021
416.0,416.0,0.011293656
417.0,417.0,0.15503472
418.0,418.0,0.030363847
419.0,419.0,0.0013911114
420.0,420.0,0.0058542336
421.0,421.0,0.027946405
422.0,422.0,0.007825076
423.0,423.0,0.06268683
424.0,424.0,0.055063367
425.0,425.0,0.4964449
426.0,426.0,0.010788985
427.0,427.0,0.0030917153
428.0,428.0,0.06366886
429.0,429.0,0.0018054799
430.0,430.0,0.3219519
431.0,431.0,0.034818564
432.0,432.0,0.065776005
433.0,433.0,0.021564903
434.0,434.0,0.52564216
435.0,435.0,0.6668888
436.0,436.0,0.005007071
437.0,437.0,0.008139237
438.0,438.0,0.27678686
439.0,439.0,3.7045644E-5
440.0,440.0,0.0037959465
441.0,441.0,0.04720419
442.0,442.0,0.15823357
443.0,443.0,0.015654273
444.0,444.0,0.28875175
445.0,445.0,0.35661274
446.0,446.0,0.004878298
447.0,447.0,0.0635604
448.0,448.0,0.3261168
449.0,449.0,0.12466924
450.0,450.0,0.24172473
451.0,451.0,0.012607928
452.0,452.0,0.016972914
453.0,453.0,0.0010484332
454.0,454.0,0.7667727
455.0,455.0,8.3215284E-4
456.0,456.0,0.120953985
457.0,457.0,0.032900613
458.0,458.0,0.65441173
459.0,459.0,0.043420378
460.0,460.0,0.003012363
461.0,461.0,0.018444713
462.0,462.0,0.07217433
463.0,463.0,0.6903472
464.0,464.0,0.24783602
465.0,465.0,0.08784561
466.0,466.0,0.5254285
467.0,467.0,0.78485143
468.0,468.0,0.015221378
469.0,469.0,0.10012043
470.0,470.0,0.1230623
471.0,471.0,0.19456986
472.0,472.0,0.10830182
473.0,473.0,0.2745586
474.0,474.0,0.011948436
475.0,475.0,0.41636252
476.0,476.0,0.32872596
477.0,477.0,0.35906434
478.0,478.0,0.009623669
479.0,479.0,0.033288475
480.0,480.0,0.0457078
481.0,481.0,0.006313549
482.0,482.0,0.02234662
483.0,483.0,0.563618
484.0,484.0,0.16102158
485.0,485.0,0.0311523
486.0,486.0,0.109724335
487.0,487.0,0.00765638
488.0,488.0,0.068959765
489.0,489.0,0.65251106
490.0,490.0,0.024478657
491.0,491.0,0.56177676
492.0,492.0,0.08121233
493.0,493.0,0.018341137
494.0,494.0,0.0053065666
495.0,495.0,0.09152667
496.0,496.0,0.08835739
497.0,497.0,7.918995E-5
498.0,498.0,0.088507764
499.0,499.0,0.07711746
500.0,500.0,0.98253065
501.0,501.0,0.0080335485
502.0,502.0,0.610553
503.0,503.0,0.10392329
504.0,504.0,0.07141404
505.0,505.0,0.096457094
506.0,506.0,0.008356516
507.0,507.0,0.022845186
508.0,508.0,0.004928625
