x,y,species_1 cloglog values
300.0,300.0,4.422574E-6
301.0,301.0,0.78394014
302.0,302.0,2.920661E-4
303.0,303.0,0.00201666
304.0,304.0,0.012135613
305.0,305.0,0.023245549
306.0,306.0,2.1257637E-4
307.0,307.0,6.8798904E-6
308.0,308.0,0.0048711635
309.0,309.0,4.5383113E-4
310.0,310.0,3.5968114E-5
311.0,311.0,0.0056287698
312.0,312.0,0.012232934
313.0,313.0,0.015019044
314.0,314.0,0.0017158164
315.0,315.0,0.010685288
316.0,316.0,0.008477347
317.0,317.0,0.0038021645
318.0,318.0,0.67501354
319.0,319.0,0.010912974
320.0,320.0,3.2324937E-5
321.0,321.0,8.1386776E-7
322.0,322.0,0.0057353214
323.0,323.0,0.2536118
324.0,324.0,0.0013762288
325.0,325.0,3.0396654E-5
326.0,326.0,0.016488045
327.0,327.0,0.6052937
328.0,328.0,0.0043194504
329.0,329.0,0.003974345
330.0,330.0,0.2908665
331.0,331.0,4.4763155E-4
332.0,332.0,0.006901179
333.0,333.0,1.11428155E-4
334.0,334.0,9.1612735E-4
335.0,335.0,4.6078852E-4
336.0,336.0,0.0125527885
337.0,337.0,2.4941064E-5
338.0,338.0,1.348149E-4
339.0,339.0,0.029020464
340.0,340.0,0.0011525535
341.0,341.0,0.0010338352
342.0,342.0,6.8616455E-6
343.0,343.0,0.005094899
344.0,344.0,0.0057460573
345.0,345.0,2.9445579E-5
346.0,346.0,0.0064736637
347.0,347.0,1.9167517E-5
348.0,348.0,3.5529483E-5
349.0,349.0,0.0058236816
350.0,350.0,0.6739447
351.0,351.0,0.0030739447
352.0,352.0,5.0009723E-5
353.0,353.0,0.014491237
354.0,354.0,9.135351E-5
355.0,355.0,6.358711E-5
356.0,356.0,2.6031156E-4
357.0,357.0,0.82072484
358.0,358.0,0.010027728
359.0,359.0,1.4421745E-5
360.0,360.0,0.054293495
361.0,361.0,3.1122709E-6
362.0,362.0,0.03166549
363.0,363.0,7.2487683E-6
364.0,364.0,7.300417E-5
365.0,365.0,3.0456895E-5
366.0,366.0,0.79755217
367.0,367.0,3.7826016E-4
368.0,368.0,0.19373594
369.0,369.0,2.9328201E-5
370.0,370.0,0.71280056
371.0,371.0,0.005550066
372.0,372.0,0.47486484
373.0,373.0,0.0014211232
374.0,374.0,0.5302819
375.0,375.0,0.006837556
376.0,376.0,0.190714
377.0,377.0,3.201696E-4
378.0,378.0,1.2979368E-6
379.0,379.0,3.021906E-4
380.0,380.0,0.02435258
381.0,381.0,6.125354E-4
382.0,382.0,0.0220101
383.0,383.0,0.004287455
384.0,384.0,0.005012901
385.0,385.0,0.0010925925
