Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.21075E-4,13.767947722,0.410521491,0.118554566,0.070175439,0.071428571
3.29791E-4,14.029235167,0.418918702,0.117726237,0.087719298,0.071428571
3.3286E-4,14.261628442,0.421846458,0.11700145,0.087719298,0.071428571
3.3838E-4,14.511575541,0.427076564,0.116173121,0.087719298,0.071428571
3.42408E-4,14.769227239,0.430862193,0.115448333,0.087719298,0.142857143
3.47427E-4,15.011184582,0.43554455,0.114723545,0.087719298,0.142857143
3.52611E-4,15.256069565,0.440340664,0.113998758,0.087719298,0.142857143
3.56585E-4,15.504853248,0.443990024,0.11327397,0.087719298,0.142857143
3.61142E-4,15.755973471,0.448145307,0.112549182,0.087719298,0.142857143
3.65435E-4,16.010507308,0.45203148,0.111824394,0.087719298,0.142857143
3.68787E-4,16.268054365,0.455046325,0.111099607,0.087719298,0.142857143
3.71489E-4,16.527345616,0.457465367,0.110374819,0.087719298,0.142857143
3.76741E-4,16.75247759,0.462135322,0.109753572,0.087719298,0.142857143
3.77925E-4,17.016738483,0.463182311,0.109028784,0.087719298,0.142857143
3.80572E-4,17.282147953,0.465516418,0.108303997,0.087719298,0.214285714
3.84949E-4,17.512231385,0.469353089,0.10768275,0.087719298,0.214285714
3.91095E-4,17.784749407,0.474694586,0.106957962,0.087719298,0.214285714
3.95398E-4,18.020754542,0.478402168,0.106336716,0.087719298,0.214285714
3.98992E-4,18.259436188,0.481478673,0.105715469,0.087719298,0.214285714
4.01391E-4,18.539616513,0.483522421,0.104990681,0.087719298,0.214285714
4.04115E-4,18.781392743,0.485832938,0.104369435,0.087719298,0.214285714
4.07784E-4,19.025370515,0.488928975,0.103748188,0.087719298,0.285714286
4.11659E-4,19.271412657,0.492178606,0.103126941,0.087719298,0.285714286
4.1954E-4,19.521330242,0.498723776,0.102505695,0.087719298,0.285714286
4.21478E-4,19.773578476,0.500320305,0.101884448,0.087719298,0.285714286
4.25904E-4,20.027290917,0.503947877,0.101263201,0.087719298,0.285714286
4.29631E-4,20.284084778,0.50698149,0.100641955,0.087719298,0.285714286
4.33099E-4,20.50005041,0.509787901,0.100124249,0.087719298,0.285714286
4.37331E-4,20.762032269,0.513191463,0.099503003,0.087719298,0.285714286
4.40571E-4,21.025433299,0.51578049,0.098881756,0.087719298,0.285714286
4.4361E-4,21.290734203,0.518197272,0.098260509,0.087719298,0.285714286
4.50697E-4,21.515132929,0.523785142,0.097742804,0.105263158,0.285714286
4.53363E-4,21.786286831,0.525870213,0.097121557,0.105263158,0.285714286
4.55601E-4,22.013406449,0.527614028,0.096603852,0.105263158,0.285714286
4.63221E-4,22.289526424,0.53350163,0.095982605,0.140350877,0.357142857
4.64967E-4,22.521737393,0.534840947,0.0954649,0.140350877,0.357142857
4.71239E-4,22.756523616,0.539618488,0.094947194,0.157894737,0.357142857
4.74978E-4,23.040085066,0.542442927,0.094325947,0.175438596,0.357142857
4.79459E-4,23.278917903,0.545805863,0.093808242,0.175438596,0.357142857
4.81098E-4,23.519070504,0.547029786,0.093290536,0.175438596,0.357142857
4.83522E-4,23.760338002,0.548833455,0.092772831,0.192982456,0.357142857
4.87571E-4,24.003484949,0.55183028,0.092255125,0.192982456,0.357142857
4.90898E-4,24.296864507,0.554278298,0.091633879,0.210526316,0.357142857
4.96041E-4,24.544216633,0.558035506,0.091116173,0.210526316,0.357142857
4.9919E-4,24.79288522,0.560320582,0.090598468,0.210526316,0.357142857
5.01993E-4,25.043370725,0.56234441,0.090080762,0.228070175,0.357142857
5.03399E-4,25.294885094,0.563356232,0.089563057,0.228070175,0.357142857
5.0651E-4,25.547648213,0.565586471,0.089045351,0.228070175,0.357142857
5.09614E-4,25.751300773,0.567800859,0.088631187,0.228070175,0.357142857
5.12193E-4,26.006838292,0.569631374,0.088113481,0.228070175,0.357142857
5.17386E-4,26.264538435,0.573294894,0.087595776,0.228070175,0.357142857
5.22996E-4,26.524629365,0.577216971,0.08707807,0.228070175,0.357142857
5.25604E-4,26.786722006,0.579027911,0.086560364,0.228070175,0.357142857
5.2842E-4,27.050748408,0.580974683,0.086042659,0.228070175,0.357142857
5.29781E-4,27.262455371,0.581912297,0.085628495,0.245614035,0.357142857
5.31158E-4,27.527823535,0.58285928,0.085110789,0.245614035,0.357142857
5.36111E-4,27.794670808,0.586246607,0.084593083,0.245614035,0.357142857
5.42312E-4,28.011233785,0.590448034,0.084178919,0.245614035,0.357142857
5.46714E-4,28.284014777,0.593404918,0.083661214,0.245614035,0.357142857
5.50874E-4,28.503794517,0.596180091,0.083247049,0.245614035,0.357142857
5.57182E-4,28.780621142,0.60035129,0.082729344,0.245614035,0.357142857
5.61559E-4,29.004823374,0.60322025,0.082315179,0.245614035,0.357142857
5.67296E-4,29.287332706,0.606949641,0.081797474,0.263157895,0.428571429
5.68947E-4,29.51473216,0.608016176,0.081383309,0.263157895,0.428571429
5.72008E-4,29.800250644,0.609986735,0.080865604,0.263157895,0.428571429
5.75223E-4,30.029747565,0.612045039,0.080451439,0.263157895,0.428571429
5.81521E-4,30.261474067,0.616046246,0.080037275,0.263157895,0.428571429
5.83621E-4,30.552667001,0.617371447,0.079519569,0.263157895,0.428571429
5.86913E-4,30.786908759,0.619438977,0.079105405,0.263157895,0.5
5.87815E-4,31.021930187,0.620003454,0.07869124,0.263157895,0.5
5.90157E-4,31.257608054,0.621465803,0.078277076,0.263157895,0.571428571
5.91922E-4,31.553117459,0.622563675,0.07775937,0.263157895,0.571428571
5.95576E-4,31.790764437,0.624827643,0.077345206,0.263157895,0.571428571
5.97774E-4,32.029386435,0.626182099,0.076931042,0.263157895,0.571428571
5.99965E-4,32.268815238,0.627527883,0.076516877,0.263157895,0.571428571
6.02505E-4,32.509206947,0.629081902,0.076102713,0.263157895,0.571428571
6.03581E-4,32.750432826,0.629738837,0.075688548,0.263157895,0.571428571
6.06177E-4,33.053243983,0.631317104,0.075170843,0.263157895,0.571428571
6.08739E-4,33.296481993,0.632868879,0.074756678,0.263157895,0.571428571
6.12247E-4,33.541079689,0.634982865,0.074342514,0.263157895,0.571428571
6.16087E-4,33.786959632,0.637282958,0.07392835,0.263157895,0.571428571
6.17602E-4,34.033722391,0.638186145,0.073514185,0.263157895,0.571428571
