x,y,species max
495.0,495.0,7.9215656E-4
496.0,496.0,0.0016131721
497.0,497.0,0.005040214
498.0,498.0,0.74003685
499.0,499.0,0.7238332
500.0,500.0,0.7195284
501.0,501.0,0.0011392217
502.0,502.0,6.771752E-5
503.0,503.0,0.0015038108
504.0,504.0,0.011962713
505.0,505.0,0.0013863611
506.0,506.0,0.04202765
507.0,507.0,0.0044648675
508.0,508.0,0.8186667
509.0,509.0,2.1070357E-5
510.0,510.0,9.2291716E-4
511.0,511.0,0.714062
512.0,512.0,0.010500157
513.0,513.0,0.0059842947
514.0,514.0,0.042381268
515.0,515.0,0.0013666286
516.0,516.0,7.06604E-6
517.0,517.0,0.0029880488
518.0,518.0,0.7030295
519.0,519.0,0.0026347241
520.0,520.0,6.0924826E-6
521.0,521.0,3.3955052E-4
522.0,522.0,5.347184E-6
523.0,523.0,4.0711468E-4
524.0,524.0,1.2377287E-4
525.0,525.0,0.5404782
526.0,526.0,0.012652536
527.0,527.0,7.489839E-5
528.0,528.0,1.4211843E-5
529.0,529.0,0.8250976
530.0,530.0,3.4790495E-4
531.0,531.0,2.7239491E-4
532.0,532.0,7.158721E-5
533.0,533.0,0.004585848
534.0,534.0,0.002161426
535.0,535.0,1.7185574E-5
536.0,536.0,4.5706754E-4
537.0,537.0,7.62072E-5
538.0,538.0,0.23604959
539.0,539.0,6.251724E-4
540.0,540.0,0.014984859
541.0,541.0,0.0038110267
542.0,542.0,0.053031098
543.0,543.0,0.12341474
544.0,544.0,3.6487298E-4
545.0,545.0,0.726322
546.0,546.0,0.0015666712
547.0,547.0,2.2495388E-4
548.0,548.0,0.009039929
549.0,549.0,6.057567E-6
550.0,550.0,0.0058225286
551.0,551.0,0.13125396
552.0,552.0,1.9995838E-5
553.0,553.0,0.0072595775
554.0,554.0,0.0041277837
555.0,555.0,1.02980666E-4
556.0,556.0,0.004074746
557.0,557.0,0.008061067
558.0,558.0,0.3330508
559.0,559.0,0.009838024
560.0,560.0,0.010639555
561.0,561.0,0.042305525
562.0,562.0,0.0019708732
563.0,563.0,0.009697397
564.0,564.0,0.010955482
565.0,565.0,1.855172E-4
566.0,566.0,0.0048964764
567.0,567.0,0.011984893
568.0,568.0,2.8413863E-4
569.0,569.0,8.095076E-4
570.0,570.0,0.057263445
571.0,571.0,0.8585111
572.0,572.0,0.021179708
573.0,573.0,0.014336316
574.0,574.0,0.6139198
575.0,575.0,0.743965
576.0,576.0,0.0024847437
577.0,577.0,0.015055127
578.0,578.0,0.02219266
579.0,579.0,0.85388047
