x,y,species avg
127.0,127.0,8.7954344E-5
128.0,128.0,9.666574E-5
129.0,129.0,0.029770963
130.0,130.0,0.013519913
131.0,131.0,2.864686E-4
132.0,132.0,0.01359627
133.0,133.0,1.444099E-5
134.0,134.0,0.77411664
135.0,135.0,1.6320737E-4
136.0,136.0,0.35343042
137.0,137.0,0.06939022
138.0,138.0,0.046985455
139.0,139.0,0.019697497
140.0,140.0,5.939828E-4
141.0,141.0,0.2658103
142.0,142.0,7.383406E-6
143.0,143.0,0.67152756
144.0,144.0,0.6674415
145.0,145.0,4.921492E-4
146.0,146.0,0.6061008
147.0,147.0,0.6284489
148.0,148.0,0.24893948
149.0,149.0,0.003105163
150.0,150.0,0.010091164
151.0,151.0,1.3856574E-5
152.0,152.0,0.016213818
153.0,153.0,8.4407267E-4
154.0,154.0,7.370248E-4
155.0,155.0,0.44685078
156.0,156.0,8.792216E-4
157.0,157.0,0.0024608038
158.0,158.0,0.04007505
159.0,159.0,0.010656815
160.0,160.0,0.009411551
161.0,161.0,0.0030100087
162.0,162.0,0.007908281
163.0,163.0,0.82152146
164.0,164.0,0.004841301
165.0,165.0,0.0027692684
166.0,166.0,0.008542471
167.0,167.0,0.08969131
168.0,168.0,2.7639044E-6
169.0,169.0,0.028663782
170.0,170.0,0.036800694
171.0,171.0,1.4871331E-4
172.0,172.0,0.018173639
173.0,173.0,4.933959E-5
174.0,174.0,0.007714445
175.0,175.0,0.01169201
176.0,176.0,2.265903E-4
177.0,177.0,5.7189714E-4
178.0,178.0,0.003324432
179.0,179.0,0.3586582
180.0,180.0,0.23395874
181.0,181.0,0.01659431
182.0,182.0,2.5602744E-4
183.0,183.0,0.6262807
184.0,184.0,0.21216047
185.0,185.0,0.0064274883
186.0,186.0,1.083289E-4
187.0,187.0,3.23333E-4
188.0,188.0,0.0014318239
189.0,189.0,0.0019977367
190.0,190.0,0.008542868
191.0,191.0,4.7673977E-5
192.0,192.0,1.2776833E-5
193.0,193.0,0.0064258236
194.0,194.0,0.004058915
195.0,195.0,5.8777173E-6
196.0,196.0,0.016761003
197.0,197.0,0.069954656
198.0,198.0,0.005593839
199.0,199.0,0.010039816
200.0,200.0,1.2855664E-6
201.0,201.0,0.0476542
202.0,202.0,2.2615985E-5
203.0,203.0,0.009162148
204.0,204.0,5.3934575E-5
205.0,205.0,0.8607411
206.0,206.0,0.0015203252
207.0,207.0,0.9228502
208.0,208.0,0.0010885362
209.0,209.0,0.014643685
210.0,210.0,0.06380217
211.0,211.0,9.722E-6
212.0,212.0,0.0021371462
213.0,213.0,6.623307E-5
214.0,214.0,7.5905985E-4
215.0,215.0,0.64667016
216.0,216.0,0.69062334
217.0,217.0,0.7146443
218.0,218.0,0.0014355369
219.0,219.0,0.055047665
220.0,220.0,3.9002346E-4
221.0,221.0,0.08670054
222.0,222.0,0.63932556
223.0,223.0,0.003305221
224.0,224.0,6.535861E-4
225.0,225.0,0.5079356
226.0,226.0,0.007166975
227.0,227.0,0.0088888835
228.0,228.0,9.213088E-5
229.0,229.0,6.891561E-4
230.0,230.0,0.00659603
231.0,231.0,0.0086947195
232.0,232.0,4.4028697E-4
233.0,233.0,6.1676934E-7
234.0,234.0,2.828094E-6
235.0,235.0,8.3414325E-6
236.0,236.0,0.025522232
237.0,237.0,0.014655926
238.0,238.0,5.4030435E-5
239.0,239.0,0.0050064623
240.0,240.0,0.0027043773
241.0,241.0,0.001487003
242.0,242.0,5.076755E-6
243.0,243.0,0.0058605573
244.0,244.0,3.4969857E-5
245.0,245.0,0.003273196
246.0,246.0,6.2890153E-4
247.0,247.0,0.33715403
248.0,248.0,2.0690134E-4
249.0,249.0,8.0173486E-4
250.0,250.0,1.3678127E-5
251.0,251.0,0.16725037
252.0,252.0,3.9096334E-4
253.0,253.0,6.644847E-4
254.0,254.0,8.339943E-5
255.0,255.0,0.0072567184
256.0,256.0,2.139803E-4
257.0,257.0,0.008706958
258.0,258.0,0.3358291
259.0,259.0,0.29271576
260.0,260.0,0.002476735
261.0,261.0,0.0027524484
262.0,262.0,3.1033333E-4
263.0,263.0,4.5854777E-5
264.0,264.0,0.8031058
265.0,265.0,0.009658092
266.0,266.0,0.0028268585
267.0,267.0,0.009536809
268.0,268.0,3.466115E-5
269.0,269.0,3.4556862E-5
270.0,270.0,0.19826381
271.0,271.0,7.927757E-5
272.0,272.0,0.003353938
273.0,273.0,0.797284
274.0,274.0,0.03628707
275.0,275.0,4.155519E-4
276.0,276.0,6.926785E-5
277.0,277.0,0.72975767
278.0,278.0,0.5668361
279.0,279.0,0.7855235
280.0,280.0,6.024054E-4
281.0,281.0,1.7624232E-5
282.0,282.0,3.4142842E-5
283.0,283.0,0.004440841
284.0,284.0,4.203862E-4
285.0,285.0,0.50646627
286.0,286.0,0.0056906976
287.0,287.0,5.519869E-4
288.0,288.0,1.3701274E-4
289.0,289.0,0.012536296
290.0,290.0,0.007220714
291.0,291.0,0.5720411
292.0,292.0,0.014989081
293.0,293.0,0.0064762067
294.0,294.0,1.1609107E-5
295.0,295.0,0.115293615
296.0,296.0,1.0475536E-5
297.0,297.0,4.0111478E-5
298.0,298.0,0.00334214
299.0,299.0,9.454007E-5
300.0,300.0,9.689243E-7
301.0,301.0,0.78346556
302.0,302.0,1.6616216E-4
303.0,303.0,7.492063E-4
304.0,304.0,0.010375546
305.0,305.0,0.041662857
306.0,306.0,9.826523E-5
307.0,307.0,2.2827518E-5
308.0,308.0,0.005537422
309.0,309.0,2.667253E-4
310.0,310.0,1.9350591E-5
311.0,311.0,0.0037351637
312.0,312.0,0.012175237
313.0,313.0,0.017447509
314.0,314.0,7.8880513E-4
315.0,315.0,0.010259614
316.0,316.0,0.0054328833
317.0,317.0,0.004201056
318.0,318.0,0.6369196
319.0,319.0,0.010249104
320.0,320.0,1.6216212E-5
321.0,321.0,3.6403694E-6
322.0,322.0,0.0061896727
323.0,323.0,0.2673816
324.0,324.0,0.0020511409
325.0,325.0,4.0487987E-5
326.0,326.0,0.008661865
327.0,327.0,0.7610082
328.0,328.0,0.0043867477
329.0,329.0,0.0026288324
330.0,330.0,0.26247147
331.0,331.0,2.6500784E-4
332.0,332.0,0.0026446667
