x,y,species min
321.0,321.0,6.158159E-7
322.0,322.0,0.004682292
323.0,323.0,0.18956023
324.0,324.0,9.424813E-4
325.0,325.0,1.16479505E-5
326.0,326.0,0.004438632
327.0,327.0,0.6052937
328.0,328.0,0.0021022807
329.0,329.0,0.0015862559
330.0,330.0,0.21342486
331.0,331.0,9.1086746E-5
332.0,332.0,6.313822E-4
333.0,333.0,6.7624533E-6
334.0,334.0,3.1001837E-4
335.0,335.0,7.1986135E-5
336.0,336.0,0.0125527885
337.0,337.0,5.8444283E-7
338.0,338.0,4.5275534E-5
339.0,339.0,0.014772698
340.0,340.0,3.757939E-4
341.0,341.0,3.359947E-4
342.0,342.0,4.6147406E-6
343.0,343.0,0.005094899
344.0,344.0,0.0036826024
345.0,345.0,2.9445579E-5
346.0,346.0,0.0011182209
347.0,347.0,9.2933715E-6
348.0,348.0,1.1323508E-6
349.0,349.0,0.0048225685
350.0,350.0,0.5848181
351.0,351.0,0.0030739447
352.0,352.0,6.6942075E-6
353.0,353.0,0.014491237
354.0,354.0,1.8210276E-5
355.0,355.0,3.245343E-5
356.0,356.0,6.2607076E-5
357.0,357.0,0.78736347
358.0,358.0,0.008876318
359.0,359.0,8.299305E-6
360.0,360.0,0.012105138
361.0,361.0,5.429719E-8
362.0,362.0,0.03166549
363.0,363.0,1.3721E-6
364.0,364.0,3.7267793E-5
365.0,365.0,2.2198463E-5
366.0,366.0,0.74096924
367.0,367.0,1.21242374E-4
368.0,368.0,0.18889081
369.0,369.0,8.0748505E-6
370.0,370.0,0.5545993
371.0,371.0,0.0031335712
372.0,372.0,0.47486484
373.0,373.0,6.442255E-4
374.0,374.0,0.50738907
375.0,375.0,0.002157468
376.0,376.0,0.18533371
377.0,377.0,1.7739911E-4
378.0,378.0,1.5048297E-8
379.0,379.0,1.7233941E-4
380.0,380.0,0.014360217
381.0,381.0,1.9276036E-4
382.0,382.0,0.0220101
383.0,383.0,0.004287455
384.0,384.0,0.0014662117
385.0,385.0,2.2813148E-4
386.0,386.0,7.8541465E-4
387.0,387.0,0.27194244
388.0,388.0,0.113404796
389.0,389.0,3.946896E-5
390.0,390.0,1.5031398E-7
391.0,391.0,0.0021735681
392.0,392.0,0.0028595582
393.0,393.0,0.68174237
394.0,394.0,0.44326204
395.0,395.0,0.001335642
396.0,396.0,8.4990077E-4
397.0,397.0,5.724267E-5
398.0,398.0,0.0022040908
399.0,399.0,6.924205E-4
400.0,400.0,9.564915E-7
401.0,401.0,0.0054522105
402.0,402.0,0.23950392
403.0,403.0,0.010008604
404.0,404.0,0.58907545
405.0,405.0,0.004378336
406.0,406.0,0.028914807
407.0,407.0,0.0048805284
408.0,408.0,0.0243285
409.0,409.0,4.643856E-4
410.0,410.0,0.75573677
411.0,411.0,8.804259E-6
412.0,412.0,0.005297973
413.0,413.0,0.5836331
414.0,414.0,0.11315336
415.0,415.0,1.7246904E-6
416.0,416.0,6.338456E-4
417.0,417.0,7.886826E-4
418.0,418.0,0.0017084316
419.0,419.0,0.022840993
420.0,420.0,0.0026988566
421.0,421.0,4.4133456E-4
422.0,422.0,0.0017911305
423.0,423.0,0.0074664615
424.0,424.0,6.6276605E-4
425.0,425.0,2.487759E-4
426.0,426.0,0.0027564776
427.0,427.0,0.111902066
428.0,428.0,0.004291219
429.0,429.0,6.201495E-4
430.0,430.0,0.0016789406
431.0,431.0,2.9457686E-4
432.0,432.0,0.0019358638
433.0,433.0,0.0031947969
434.0,434.0,1.9072747E-4
435.0,435.0,0.52984726
436.0,436.0,0.0046219043
437.0,437.0,0.0072964695
438.0,438.0,5.686E-6
439.0,439.0,0.5963345
440.0,440.0,0.0011067739
441.0,441.0,0.0022802968
442.0,442.0,1.0167154E-5
443.0,443.0,0.0034691985
444.0,444.0,4.996424E-8
445.0,445.0,0.0017753225
446.0,446.0,4.5561014E-6
447.0,447.0,0.04391415
448.0,448.0,0.005209917
449.0,449.0,0.0018604023
450.0,450.0,0.0049920757
451.0,451.0,0.4879041
452.0,452.0,0.028554134
453.0,453.0,0.34760305
454.0,454.0,6.272287E-5
455.0,455.0,2.7888184E-6
456.0,456.0,7.5926E-5
457.0,457.0,0.004896071
458.0,458.0,7.7500146E-5
459.0,459.0,0.48150918
