x,y,species avg
123.0,123.0,0.15446025
124.0,124.0,0.23075156
125.0,125.0,0.20994501
126.0,126.0,0.3669003
127.0,127.0,0.6049975
128.0,128.0,1.0069411E-4
129.0,129.0,0.0067848414
130.0,130.0,0.0036712359
131.0,131.0,0.0028173197
132.0,132.0,0.016493702
133.0,133.0,0.15658388
134.0,134.0,1.1046746E-5
135.0,135.0,2.0249397E-5
136.0,136.0,0.57682
137.0,137.0,0.05853122
138.0,138.0,0.06251471
139.0,139.0,0.3023469
140.0,140.0,0.051099632
141.0,141.0,0.25917298
142.0,142.0,2.759831E-4
143.0,143.0,0.11055233
144.0,144.0,0.20278935
145.0,145.0,0.3686489
146.0,146.0,0.44145873
147.0,147.0,0.17405543
148.0,148.0,0.2441271
149.0,149.0,0.0011576957
150.0,150.0,1.8558912E-5
151.0,151.0,0.11275167
152.0,152.0,0.0075019486
153.0,153.0,0.18181843
154.0,154.0,0.26227048
155.0,155.0,4.137779E-6
156.0,156.0,0.004202851
157.0,157.0,0.19375879
158.0,158.0,0.39943486
159.0,159.0,0.19822189
160.0,160.0,0.9954884
161.0,161.0,9.7088545E-5
162.0,162.0,0.5075753
163.0,163.0,0.32805082
164.0,164.0,0.002517705
165.0,165.0,0.2016386
166.0,166.0,0.76565135
167.0,167.0,0.27034184
168.0,168.0,0.028291246
169.0,169.0,2.6223568E-5
170.0,170.0,0.061848193
171.0,171.0,0.4750729
172.0,172.0,0.03383655
173.0,173.0,0.043730304
174.0,174.0,0.037972674
175.0,175.0,0.02852349
176.0,176.0,0.1618242
177.0,177.0,8.173699E-5
178.0,178.0,7.7214616E-5
179.0,179.0,0.451698
180.0,180.0,0.040099505
181.0,181.0,0.7798744
182.0,182.0,0.39466032
183.0,183.0,4.5113417E-4
184.0,184.0,2.1932922E-4
185.0,185.0,0.19632156
186.0,186.0,0.06618795
187.0,187.0,0.0055175917
188.0,188.0,0.12768514
189.0,189.0,1.9740462E-4
190.0,190.0,7.517327E-6
191.0,191.0,0.02524866
192.0,192.0,0.56948245
193.0,193.0,0.6058167
194.0,194.0,0.27679303
195.0,195.0,0.0021398384
196.0,196.0,6.574869E-4
197.0,197.0,0.39672554
198.0,198.0,0.3747164
199.0,199.0,0.37297127
200.0,200.0,0.25489974
201.0,201.0,0.9732023
202.0,202.0,0.0016311819
203.0,203.0,2.792155E-4
204.0,204.0,0.13251162
205.0,205.0,0.2714867
206.0,206.0,0.10163481
207.0,207.0,0.006552035
208.0,208.0,1.4266747E-4
209.0,209.0,0.21469611
210.0,210.0,0.29338905
211.0,211.0,0.21744467
212.0,212.0,0.00373548
213.0,213.0,1.1674504E-5
214.0,214.0,2.3025344E-4
215.0,215.0,0.07384078
216.0,216.0,0.017718969
217.0,217.0,5.7601905E-4
218.0,218.0,0.5037041
219.0,219.0,0.03562132
220.0,220.0,0.0016571606
221.0,221.0,0.37754226
222.0,222.0,2.0710591E-5
223.0,223.0,0.13671622
224.0,224.0,3.3063647E-5
225.0,225.0,0.50514704
226.0,226.0,0.53814447
227.0,227.0,0.23170882
228.0,228.0,0.04238521
229.0,229.0,0.08447749
230.0,230.0,0.5934162
231.0,231.0,0.009929272
232.0,232.0,0.026953377
233.0,233.0,0.07437661
234.0,234.0,1.8070037E-4
235.0,235.0,0.23427317
236.0,236.0,0.023329634
237.0,237.0,0.012903867
238.0,238.0,0.0330153
239.0,239.0,2.5008412E-5
240.0,240.0,0.95477384
241.0,241.0,0.022197679
242.0,242.0,0.22142623
243.0,243.0,0.25463226
244.0,244.0,0.10711837
245.0,245.0,8.762354E-6
246.0,246.0,5.885736E-4
247.0,247.0,1.7746536E-4
248.0,248.0,0.63908887
249.0,249.0,0.26751104
250.0,250.0,7.5170996E-5
251.0,251.0,2.8146153E-5
252.0,252.0,0.012670478
253.0,253.0,0.12504488
254.0,254.0,0.23153402
255.0,255.0,0.05662855
256.0,256.0,0.13863535
257.0,257.0,0.069939025
258.0,258.0,0.9353908
259.0,259.0,1.7881892E-5
260.0,260.0,0.0017821802
261.0,261.0,0.05245148
262.0,262.0,0.0055610975
263.0,263.0,0.23696482
264.0,264.0,0.81722933
265.0,265.0,0.33704314
266.0,266.0,0.36138082
267.0,267.0,0.26381356
268.0,268.0,0.009686229
269.0,269.0,0.44276333
270.0,270.0,0.020058876
271.0,271.0,0.16246404
272.0,272.0,0.039254516
273.0,273.0,4.8864827E-6
274.0,274.0,0.14943086
275.0,275.0,1.7689285E-4
