x,y,species median
334.0,334.0,2.452098E-4
335.0,335.0,0.12282182
336.0,336.0,0.33805162
337.0,337.0,0.5070817
338.0,338.0,1.1119034E-4
339.0,339.0,0.6564967
340.0,340.0,0.0026143068
341.0,341.0,0.0019590068
342.0,342.0,0.24131428
343.0,343.0,0.0050178464
344.0,344.0,0.017344454
345.0,345.0,0.7803164
346.0,346.0,0.204208
347.0,347.0,0.0039426815
348.0,348.0,0.008596419
349.0,349.0,0.11445656
350.0,350.0,0.47483596
351.0,351.0,0.18862225
352.0,352.0,0.25308752
353.0,353.0,0.03129367
354.0,354.0,0.2636718
355.0,355.0,0.4652815
356.0,356.0,0.27768964
357.0,357.0,0.22446656
358.0,358.0,0.0027888922
359.0,359.0,0.97776455
360.0,360.0,0.04507046
361.0,361.0,2.4305828E-6
362.0,362.0,0.011961259
363.0,363.0,0.39013308
364.0,364.0,0.26485708
365.0,365.0,2.3538648E-4
366.0,366.0,0.017382829
367.0,367.0,0.4002411
368.0,368.0,0.7848087
369.0,369.0,0.11780656
370.0,370.0,1.9248851E-4
371.0,371.0,3.4123307E-4
372.0,372.0,0.008311809
373.0,373.0,0.0719182
374.0,374.0,0.4706954
375.0,375.0,0.1276369
376.0,376.0,0.38987514
377.0,377.0,1.0018864E-4
378.0,378.0,5.865131E-5
379.0,379.0,0.16103296
380.0,380.0,0.13134193
381.0,381.0,7.520148E-5
382.0,382.0,0.24243277
383.0,383.0,7.8218244E-7
384.0,384.0,0.0038558617
385.0,385.0,0.049149446
386.0,386.0,0.23744836
387.0,387.0,0.7094862
388.0,388.0,0.0072333436
389.0,389.0,0.105441555
390.0,390.0,2.5306772E-6
391.0,391.0,0.18462259
392.0,392.0,0.0015860365
393.0,393.0,0.46855238
394.0,394.0,0.24756584
395.0,395.0,1.4494902E-4
396.0,396.0,0.16184233
397.0,397.0,0.009021846
398.0,398.0,0.0012761907
399.0,399.0,1.4454004E-4
400.0,400.0,0.1085643
401.0,401.0,0.06718521
402.0,402.0,0.18749003
403.0,403.0,0.0010651781
404.0,404.0,0.28373435
405.0,405.0,0.0027100414
406.0,406.0,0.24068907
407.0,407.0,4.0092107E-4
408.0,408.0,2.9091357E-4
409.0,409.0,0.165812
410.0,410.0,0.21323395
411.0,411.0,0.073955685
412.0,412.0,0.1717215
413.0,413.0,0.28082377
414.0,414.0,0.9251051
415.0,415.0,0.41506678
416.0,416.0,0.0012499602
417.0,417.0,0.12657693
418.0,418.0,3.7116845E-4
419.0,419.0,0.025053537
420.0,420.0,8.349541E-6
