x,y,species stddev
126.0,126.0,0.06615443
127.0,127.0,0.122097515
128.0,128.0,7.218458E-5
129.0,129.0,0.0045201154
130.0,130.0,0.0015472006
131.0,131.0,0.0013625657
132.0,132.0,0.007909575
133.0,133.0,0.032583833
134.0,134.0,1.1904954E-5
135.0,135.0,2.0685888E-5
136.0,136.0,0.13390009
137.0,137.0,0.019828876
138.0,138.0,0.028906912
139.0,139.0,0.061381374
140.0,140.0,0.03311889
141.0,141.0,0.071943566
142.0,142.0,1.9419864E-4
143.0,143.0,0.02643609
144.0,144.0,0.0732563
145.0,145.0,0.051658545
146.0,146.0,0.06905923
147.0,147.0,0.037539836
148.0,148.0,0.06584219
149.0,149.0,5.9395656E-4
150.0,150.0,2.0749214E-5
151.0,151.0,0.02381042
152.0,152.0,0.0029983437
153.0,153.0,0.019318577
154.0,154.0,0.08800472
155.0,155.0,4.8363804E-6
156.0,156.0,0.001535466
157.0,157.0,0.053489815
158.0,158.0,0.06453468
159.0,159.0,0.07613541
160.0,160.0,0.0073746233
161.0,161.0,7.676693E-5
162.0,162.0,0.113052376
163.0,163.0,0.037844412
164.0,164.0,0.001130517
165.0,165.0,0.064758904
166.0,166.0,0.14006771
167.0,167.0,0.06843242
168.0,168.0,0.007834402
169.0,169.0,2.7360218E-5
170.0,170.0,0.021429393
171.0,171.0,0.05803615
172.0,172.0,0.023568928
173.0,173.0,0.017943958
174.0,174.0,0.02238592
175.0,175.0,0.011304735
176.0,176.0,0.04611955
177.0,177.0,6.157621E-5
178.0,178.0,8.0322025E-5
179.0,179.0,0.11078073
180.0,180.0,0.009810467
181.0,181.0,0.10750528
182.0,182.0,0.056721676
183.0,183.0,2.4112544E-4
184.0,184.0,1.8196774E-4
185.0,185.0,0.068945445
186.0,186.0,0.023054494
187.0,187.0,0.002430435
188.0,188.0,0.04192669
189.0,189.0,1.5969487E-4
190.0,190.0,7.825845E-6
191.0,191.0,0.007972142
192.0,192.0,0.10304585
193.0,193.0,0.12406218
194.0,194.0,0.074940875
195.0,195.0,9.803064E-4
196.0,196.0,3.964656E-4
197.0,197.0,0.06669671
198.0,198.0,0.10768065
199.0,199.0,0.09612426
200.0,200.0,0.07278746
201.0,201.0,0.019217232
202.0,202.0,8.3180115E-4
203.0,203.0,1.9721146E-4
204.0,204.0,0.05630791
205.0,205.0,0.04405242
206.0,206.0,0.032686144
207.0,207.0,0.0031753993
208.0,208.0,1.14463786E-4
209.0,209.0,0.016212612
210.0,210.0,0.10460903
211.0,211.0,0.053999577
212.0,212.0,0.0016187356
213.0,213.0,1.2572144E-5
214.0,214.0,2.3200524E-4
215.0,215.0,0.029138817
216.0,216.0,0.0047535603
217.0,217.0,3.0012353E-4
218.0,218.0,0.0634957
219.0,219.0,0.023752395
220.0,220.0,0.0014127586
221.0,221.0,0.057059404
222.0,222.0,2.091223E-5
223.0,223.0,0.0413889
224.0,224.0,2.8891318E-5
225.0,225.0,0.08660583
226.0,226.0,0.13093103
227.0,227.0,0.06003318
228.0,228.0,0.010871219
229.0,229.0,0.02761076
230.0,230.0,0.075469136
231.0,231.0,0.0026046822
232.0,232.0,0.012851233
233.0,233.0,0.02896109
234.0,234.0,1.3038421E-4
235.0,235.0,0.0934577
236.0,236.0,0.013656659
237.0,237.0,0.0070095314
238.0,238.0,0.015260958
239.0,239.0,2.5162733E-5
240.0,240.0,0.042897247
241.0,241.0,0.008090953
242.0,242.0,0.04364307
243.0,243.0,0.08508472
244.0,244.0,0.037647128
245.0,245.0,9.980176E-6
246.0,246.0,3.5356064E-4
247.0,247.0,1.1456756E-4
248.0,248.0,0.12858276
249.0,249.0,0.08216021
250.0,250.0,6.069058E-5
251.0,251.0,2.4617511E-5
252.0,252.0,0.0036466364
253.0,253.0,0.051188342
254.0,254.0,0.052009713
255.0,255.0,0.013219633
256.0,256.0,0.04196484
257.0,257.0,0.017824672
258.0,258.0,0.12541796
259.0,259.0,1.969814E-5
260.0,260.0,8.1405835E-4
261.0,261.0,0.03293119
262.0,262.0,0.002193178
263.0,263.0,0.06904459
264.0,264.0,0.09397703
265.0,265.0,0.061397
